,6-10,10-12,12-15,15-17,17-20,20-23,23-3,3-6,labels
Рестораны,0,0,1,0,1,1,1,0,"[2, 3]"
Бары,0,0,0,0,1,1,1,0,"[1, 4]"
Ночные клубы,0,0,0,0,1,1,1,0,"[2, 3, 4]"
Столовые,0,0,1,1,0,0,0,0,"[2, 3, 5]"
Стрит-фуд,0,1,1,1,1,1,0,0,"[1, 3, 5]"
Предприятия быстрого обслуживания,0,1,1,1,1,1,0,0,"[2, 4]"
Кафетерии,1,1,1,1,1,1,0,0,"[0, 1, 2, 3, 4]"
Кофейни,1,1,1,1,1,1,0,0,"[0, 1, 2, 4]"
Магазины кулинарии,1,1,1,1,1,1,0,0,"[0, 2, 4]"
Розливной алкоголь,0,0,0,0,1,1,0,0,[0]
Магазины продовольственные/непродовольственные частного спроса,0,1,1,1,1,1,0,0,[0]
Магазины-склады,0,1,1,1,1,1,0,0,[3]
Палатки,0,1,1,1,1,1,0,0,"[0, 4]"
Минимаркеты,1,1,0,0,1,1,0,0,"[1, 4]"
"Мелкие магазины, расположенные на территории предприятий для обсуживания работников",0,1,1,1,1,1,0,0,"[2, 3]"
"Магазины специализированные продвольственные (рыба, мясо, вина,  и пр)",0,1,1,1,1,0,0,0,[0]
Магазины специализированные непродовольственные ,0,0,0,0,1,1,0,0,"[0, 3]"
"Магазины прочей товарной специализации (книги, зоомагазины, цветы и др)",0,0,0,0,1,1,0,0,"[0, 4]"
Вендинговые автоматы,1,0,0,0,1,1,0,0,"[2, 4]"
Фудтрак,1,1,1,1,1,1,1,1,"[1, 4]"
Клиники,1,1,0,0,1,1,0,0,"[0, 2]"
Ветклиники,1,1,1,1,1,1,0,0,"[0, 2]"
Ветаптеки,1,1,1,1,1,1,0,0,"[0, 2]"
Аптеки,1,1,1,1,1,1,0,0,"[0, 2]"
Оптика,1,1,1,1,1,1,0,0,"[0, 2]"
Ортика,1,1,1,1,1,1,0,0,"[0, 2]"
Стоматология,1,1,1,1,1,1,0,0,"[0, 2]"
Медицинские центры косметологии и эстетической медицины (кабинет),1,1,1,1,1,1,0,0,"[2, 3]"
Ателье,1,1,1,1,1,1,0,0,[0]
Ремонт обуви,0,0,0,0,1,1,0,0,[0]
Изготовление ключей,0,0,0,0,1,1,0,0,[0]
Салоны красоты,0,0,0,0,1,1,0,0,"[0, 4]"
Фото,0,0,0,0,1,1,0,0,"[0, 2, 4]"
Ремонт техники,1,1,1,1,1,1,0,0,"[0, 3]"
Ремонт ювелирных изделий ,0,0,0,0,1,1,0,0,[0]
Квесты,0,0,0,0,1,1,0,0,[3]
Антикафе,0,0,0,0,1,1,1,0,[4]
Фитнесклубы,0,0,0,0,1,1,0,0,"[0, 2]"
Хобби,1,1,1,1,1,1,0,0,"[0, 2]"
Образовательные услуги (частное образование),1,1,1,1,1,1,0,0,"[0, 2]"
Развивательные центры для детей,1,1,1,1,1,0,0,0,"[1, 3]"
Банковская сфера(филиалы),1,1,1,1,1,0,0,0,"[0, 2, 4]"
Микрофинансовые организации,0,1,1,1,1,0,0,0,"[0, 2]"
Нотариус,0,1,1,1,1,1,0,0,"[0, 2]"
Адвокатская контора,0,1,1,1,1,0,0,0,"[0, 2]"
